Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
3/25/2024,3/25/2024,3/26/2024,NVDA,NVDA 3/28/2024 Put $815.00,STC,2,$0.18,$35.92,
3/25/2024,3/25/2024,3/26/2024,NVDA,NVDA 3/28/2024 Put $820.00,BTC,2,$0.21,-$42.06,
3/14/2024,3/14/2024,3/14/2024,MSFT,Cash Div: R/D 2024-02-15 P/D 2024-03-14 - 20 shares at 0.75,CDIV,,,$15.00,
3/14/2024,3/14/2024,3/15/2024,NVDA,NVDA 3/28/2024 Put $815.00,BTO,2,$21.20,"-$4,240.06",
3/14/2024,3/14/2024,3/15/2024,NVDA,NVDA 3/28/2024 Put $820.00,STO,2,$22.90,"$4,579.89",
3/7/2024,3/7/2024,3/7/2024,JNJ,Stock Lending,SLIP,,,$0.01,
3/7/2024,3/7/2024,3/7/2024,BB,Stock Lending,SLIP,,,$0.01,
3/5/2024,3/5/2024,3/5/2024,JNJ,Cash Div: R/D 2024-02-20 P/D 2024-03-05 - 20 shares at 1.19,CDIV,,,$23.80,
3/4/2024,3/4/2024,3/4/2024,,Gold Subscription Fee,GOLD,,,-$5.00,
3/1/2024,3/1/2024,3/4/2024,NVDA,Option Expiration for NVDA 3/1/2024 Put $570.00,OEXP,1,,,
3/1/2024,3/1/2024,3/4/2024,NVDA,Option Expiration for NVDA 3/1/2024 Put $565.00,OEXP,1S,,,
2/29/2024,2/29/2024,2/29/2024,,Interest Payment,INT,,,$55.27,
2/23/2024,2/23/2024,2/26/2024,PLTR,PLTR 2/23/2024 Call $18.50,BTC,2,$4.55,-$910.06,
2/12/2024,2/12/2024,2/14/2024,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,0.001993,$501.74,-$1.00,
2/7/2024,2/7/2024,2/7/2024,VOOG,Stock Lending,SLIP,,,$0.01,
2/7/2024,2/7/2024,2/7/2024,BB,Stock Lending,SLIP,,,$0.01,
2/7/2024,2/7/2024,2/8/2024,MSFT,MSFT 2/9/2024 Put $402.50,BTC,2,$0.52,-$104.06,
2/7/2024,2/7/2024,2/8/2024,MSFT,MSFT 2/9/2024 Put $400.00,STC,2,$0.27,$53.92,
2/6/2024,2/6/2024,2/7/2024,PLTR,PLTR 2/23/2024 Put $15.00,BTC,3,$0.03,-$9.09,
2/6/2024,2/6/2024,2/7/2024,PLTR,PLTR 2/23/2024 Put $15.00,BTC,1,$0.03,-$3.03,
2/5/2024,2/5/2024,2/6/2024,MSFT,MSFT 2/9/2024 Put $402.50,STO,2,$2.44,$487.92,
2/5/2024,2/5/2024,2/6/2024,MSFT,MSFT 2/9/2024 Put $400.00,BTO,2,$1.66,-$332.06,
2/2/2024,2/2/2024,2/5/2024,MSFT,MSFT 2/2/2024 Put $410.00,BTC,1,$0.11,-$11.03,
2/2/2024,2/2/2024,2/5/2024,MSFT,MSFT 2/2/2024 Put $407.50,STC,1,$0.01,$0.95,
2/1/2024,2/1/2024,2/1/2024,,Gold Subscription Fee,GOLD,,,-$5.00,
1/31/2024,1/31/2024,1/31/2024,,Interest Payment,INT,,,$43.00,
1/30/2024,1/30/2024,1/31/2024,MSFT,MSFT 2/2/2024 Put $410.00,STO,1,$9.38,$937.95,
1/30/2024,1/30/2024,1/31/2024,MSFT,MSFT 2/2/2024 Put $407.50,BTO,1,$8.11,-$811.03,
